Station Number,Location,Zone,Lat,Long,HDD18,CDD10,P_Annual
010010,Humidification DP/MCDB and HR Coldest Month WS/MCDB MCWS/PCWD,7,70.940N,8.668W,6487.0,0.0,666.0
010030,Humidification DP/MCDB and HR Coldest Month WS/MCDB MCWS/PCWD,8,77.000N,15.500E,7692.0,0.0,394.0
010060,Humidification DP/MCDB and HR Coldest Month WS/MCDB MCWS/PCWD,8,78.251N,22.823E,8419.0,0.0,435.0
010070,Humidification DP/MCDB and HR Coldest Month WS/MCDB MCWS/PCWD,8,78.9228N,11.9331E,8069.0,1.0,473.0
010080,Humidification DP/MCDB and HR Coldest Month WS/MCDB MCWS/PCWD,8,78.246N,15.466E,8039.0,5.0,203.0
010100,Humidification DP/MCDB and HR Coldest Month WS/MCDB MCWS/PCWD,7,69.293N,16.144E,5166.0,145.0,1053.0
010150,Humidification DP/MCDB and HR Coldest Month WS/MCDB MCWS/PCWD,6A,69.601N,17.831E,4923.0,196.0,1043.0
010170,Humidification DP/MCDB and HR Coldest Month WS/MCDB MCWS/PCWD,8,77.689N,14.784E,7490.0,0.0,520.0
010230,Humidification DP/MCDB and HR Coldest Month WS/MCDB MCWS/PCWD,7,69.056N,18.540E,6157.0,268.0,865.0
010250,Humidification DP/MCDB and HR Coldest Month WS/MCDB MCWS/PCWD,7,69.683N,18.919E,5453.0,171.0,1002.0
010260,Humidification DP/MCDB and HR Coldest Month WS/MCDB MCWS/PCWD,7,69.6536N,18.9367E,5397.0,201.0,973.0
010280,Humidification DP/MCDB and HR Coldest Month WS/MCDB MCWS/PCWD,7,74.504N,19.001E,6833.0,2.0,403.0
010330,Humidification DP/MCDB and HR Coldest Month WS/MCDB MCWS/PCWD,6A,70.246N,19.500E,4912.0,153.0,821.0
010370,Humidification DP/MCDB and HR Coldest Month WS/MCDB MCWS/PCWD,7,69.388N,20.282E,5654.0,254.0,522.0
010460,Humidification DP/MCDB and HR Coldest Month WS/MCDB MCWS/PCWD,7,69.787N,20.959E,5591.0,219.0,1117.0
010470,Humidification DP/MCDB and HR Coldest Month WS/MCDB MCWS/PCWD,8,68.997N,23.033E,7281.0,219.0,444.0
010490,Humidification DP/MCDB and HR Coldest Month WS/MCDB MCWS/PCWD,7,69.976N,23.372E,5854.0,274.0,436.0
010520,Humidification DP/MCDB and HR Coldest Month WS/MCDB MCWS/PCWD,7,70.683N,23.683E,5738.0,154.0,712.0
