Station Number,StationID,Lat,Long,Matched_CC,Matched_ISO3,Carbon_Entity_Matched,CEF_kgCO2_per_kWh,Match_Method
10010,010010,70.94,-8.668,SJ,SJM,WORLD,0.47184,Fallback
10030,010030,77.0,15.5,SJ,SJM,WORLD,0.47184,Fallback
10060,010060,78.251,22.823,SJ,SJM,WORLD,0.47184,Fallback
10070,010070,78.9228,11.9331,SJ,SJM,WORLD,0.47184,Fallback
10080,010080,78.246,15.466,SJ,SJM,WORLD,0.47184,Fallback
10100,010100,69.293,16.144,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10150,010150,69.601,17.831,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10170,010170,77.689,14.784,SJ,SJM,WORLD,0.47184,Fallback
10230,010230,69.056,18.54,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10250,010250,69.683,18.919,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10260,010260,69.6536,18.9367,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10280,010280,74.504,19.001,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10330,010330,70.246,19.5,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10370,010370,69.388,20.282,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10460,010460,69.787,20.959,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10470,010470,68.997,23.033,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10490,010490,69.976,23.372,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10520,010520,70.683,23.683,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10550,010550,71.093,23.982,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10580,010580,69.579,23.534,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10590,010590,70.069,24.973,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10620,010620,76.509,25.013,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10650,010650,69.4636,25.5026,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10780,010780,71.089,28.217,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10875,010875,59.567,2.217,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10876,010876,66.017,8.083,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10877,010877,60.633,3.717,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10878,010878,61.45,2.133,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10880,010880,70.065,29.835,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
10886,010886,58.367,1.9,NO,NOR,NOR,0.12418000000000001,Geocoded ISO3 Match
